# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 12.1 Build 177 11/07/2012 SJ Web Edition
# File: /media/alhaytham/New Volume/ThirdYear/semester2/EG3204/labsAndAssignments/programmable_4bit_Counter/pin_config/programable_4bits_counter.csv
# Generated on: Mon Mar 12 08:57:57 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
counter[3],Output,PIN_H1,1,B1_N1,PIN_H1,,,,,
counter[2],Output,PIN_J3,1,B1_N1,PIN_J3,,,,,
counter[1],Output,PIN_J2,1,B1_N1,PIN_J2,,,,,
counter[0],Output,PIN_J1,1,B1_N1,PIN_J1,,,,,
counter_digit_1[7],Output,PIN_E11,7,B7_N1,PIN_F1,,,,,
counter_digit_1[6],Output,PIN_F11,7,B7_N1,PIN_H2,,,,,
counter_digit_1[5],Output,PIN_H12,7,B7_N1,PIN_K8,,,,,
counter_digit_1[4],Output,PIN_H13,7,B7_N1,PIN_J4,,,,,
counter_digit_1[3],Output,PIN_G12,7,B7_N1,PIN_L8,,,,,
counter_digit_1[2],Output,PIN_F12,7,B7_N1,PIN_K7,,,,,
counter_digit_1[1],Output,PIN_F13,7,B7_N1,PIN_G3,,,,,
counter_digit_1[0],Output,PIN_D13,7,B7_N1,PIN_F13,,,,,
counter_digit_2[7],Output,PIN_A13,7,B7_N1,PIN_B3,,,,,
counter_digit_2[6],Output,PIN_B13,7,B7_N1,PIN_F20,,,,,
counter_digit_2[5],Output,PIN_C13,7,B7_N1,PIN_AB9,,,,,
counter_digit_2[4],Output,PIN_A14,7,B7_N1,PIN_E7,,,,,
counter_digit_2[3],Output,PIN_B14,7,B7_N1,PIN_C3,,,,,
counter_digit_2[2],Output,PIN_E14,7,B7_N1,PIN_A3,,,,,
counter_digit_2[1],Output,PIN_A15,7,B7_N1,PIN_AB10,,,,,
counter_digit_2[0],Output,PIN_B15,7,B7_N1,PIN_D10,,,,,
mod_val_digit_1[7],Output,PIN_D15,7,B7_N0,PIN_D15,,,,,
mod_val_digit_1[6],Output,PIN_A16,7,B7_N1,PIN_A16,,,,,
mod_val_digit_1[5],Output,PIN_B16,7,B7_N1,PIN_B16,,,,,
mod_val_digit_1[4],Output,PIN_E15,7,B7_N0,PIN_E15,,,,,
mod_val_digit_1[3],Output,PIN_A17,7,B7_N1,PIN_A17,,,,,
mod_val_digit_1[2],Output,PIN_B17,7,B7_N1,PIN_B17,,,,,
mod_val_digit_1[1],Output,PIN_F14,7,B7_N0,PIN_F14,,,,,
mod_val_digit_1[0],Output,PIN_A18,7,B7_N0,PIN_A18,,,,,
mod_val_digit_2[7],Output,PIN_B18,7,B7_N0,PIN_B18,,,,,
mod_val_digit_2[6],Output,PIN_F15,7,B7_N0,PIN_F15,,,,,
mod_val_digit_2[5],Output,PIN_A19,7,B7_N0,PIN_A19,,,,,
mod_val_digit_2[4],Output,PIN_B19,7,B7_N0,PIN_B19,,,,,
mod_val_digit_2[3],Output,PIN_C19,7,B7_N0,PIN_C19,,,,,
mod_val_digit_2[2],Output,PIN_D19,7,B7_N0,PIN_D19,,,,,
mod_val_digit_2[1],Output,PIN_G15,7,B7_N0,PIN_G15,,,,,
mod_val_digit_2[0],Output,PIN_G16,7,B7_N0,PIN_G16,,,,,
